22203756,republican,RT @marc_lotter: Vice President-elect @mike_pence is back on the curvy couch. Get the latest on the transition next on @foxandfriends. http…
22203756,republican,RT @marc_lotter: Vice President-elect @mike_pence will update @Morning_Joe on the transition at 7:30. https://t.co/WS8fNVWgoo
22203756,republican,"The @Colts are looking good so far! Great 1st half, hopefully we can keep this up #INDvsNYJ https://t.co/L4ZMEwR39B"
22203756,republican,Nomination of my friend @RealBenCarson for HUD Sec. will help strengthen communities and lead to an economic revival in our inner cities.
22203756,republican,Back at Trump Tower to start another busy week of transition meetings. https://t.co/NvhLvvsfT6
22203756,republican,RT @marc_lotter: VP-elect @mike_pence discusses President-elect @realDonaldTrump's transition and agenda to get our country moving on @Meet…
22203756,republican,RT @marc_lotter: Vice President-elect @mike_pence will be discussing the transition coming up on @ThisWeekABC with @GStephanopoulos. https:…
22203756,republican,"Louisiana helped send @realDonaldTrump to the WH on Nov 8, but we still have one more race to win. On Dec 10, let's… https://t.co/120fn9jhgc"
22203756,republican,"Louisiana, today is the last day for early voting. Please join @realDonaldTrump & me in supporting @JohnKennedyLA f… https://t.co/FX6L6jzIU6"
22203756,republican,Good crowd here in Louisiana to support the state's next US Senator @JohnKennedyLA. Watch the rally here. https://t.co/AiJbi5HEFe
22203756,republican,Great to back in Louisiana. Join me today at 1pm to help elect @JohnKennedyLA to the United States Senate. He will… https://t.co/PYI6FhnUCu
22203756,republican,RT @GovPenceIN: Celebrating the holiday season at the Statehouse with a favorite tradition with Hoosier students—reading 'Twas the Night Be…
22203756,republican,RT @marc_lotter: Vice President-elect @mike_pence becomes 1st Indiana Governor since 1912 to certify Electoral College electors who will vo…
22203756,republican,"Incredible night in Cincinnati, Ohio at the first stop of the #ThankYouTour! https://t.co/KCuYUFYLfZ"
22203756,republican,"RT @marc_lotter: Vice President-elect @mike_pence talks about @Carrier decision to keep 1,000+ jobs in America tonight on @CBSEveningNews w…"
22203756,republican,"The American people voted for change last month, and even before taking office, @realDonaldTrump provided real lead… https://t.co/gF7iJ5ELJl"
22203756,republican,Proud to welcome @realDonaldTrump back to the great state of Indiana! #carrier https://t.co/MK8v7LqQPE
22203756,republican,"Productive meetings w/ @SenateMajLdr, @SpeakerRyan and incoming WH Chief of Staff @Reince. Lots of work to do & we… https://t.co/ek3zVHKrIl"
22203756,republican,Enjoyed discussion with Iowa Governor @TerryBranstad about the important role states will play in plan to Make Amer… https://t.co/cE4llOpRqZ
22203756,republican,Great catching up today in the DC transition office with my good friend @CondoleezzaRice. https://t.co/Qd4K8BeVo2
22203756,republican,Join us tomorrow night in Cincinnati for the first stop on our Thank You Tour! https://t.co/WJIb0cL63w
22203756,republican,Looking forward to welcoming @realDonaldTrump to Indiana tomorrow afternoon for an exciting announcement at @Carrier!
22203756,republican,RT @marc_lotter: VP-elect @mike_pence talks about the transition & President-elect @realDonaldTrump's priorities in office tonight at 10pm…
22203756,republican,Back to work at Trump Tower. Busy morning with important announcements already & more to come. https://t.co/Clou1oQzli
22203756,republican,Our thoughts and prayers are with those recovering at Ohio State. Fast action by law enforcement saved many innocent lives today.
22203756,republican,"After a restful holiday with family, good to be back in New York for transition meetings today with President-elect… https://t.co/DIAR9essvx"
22203756,republican,The tyrant #Castro is dead. New hope dawns. We will stand with the oppressed Cuban people for a free and democratic Cuba. Viva Cuba Libre!
22203756,republican,"Today, we give thanks for the many blessings in our lives: family, friends, freedom and faith. From our family to y… https://t.co/uBGY6eRS76"
22203756,republican,"RT @realDonaldTrump: Let us give thanks for all that we have, and let us boldly face the exciting new frontiers that lie ahead. Happy Thank…"
22203756,republican,"Great to stop by @SecondHelpings this morning, an organization making a difference everyday in the Indy community: https://t.co/2rA4W2pWjH"
22203756,republican,"Inspiring to be w/ people who know the best way to give thanks is to give your time, treasure & talent to those in… https://t.co/cxEy8rmgRB"
22203756,republican,Heading back home again to Indiana after another productive day for the @transition2017 team in New York City #MAGA
22203756,republican,I'll be on @seanhannity tonight at 10 pm ET talking about the Transition & @realDonaldTrump's policy plans for the first 100 days
